category,bead_id,run_id,run_name,state,status,group,tags,url,primary_or_superseded,headline_metric,claim_ledger_impact,hf_links,notes
raw smoke,t42-csw6.10,wv7pkuco,w42-live-success-smoke,finished,completed,t42-csw6,"baseline,raw-public-state,t42-csw6.10,w42",https://wandb.ai/jasonyandell-forge42/w42/runs/wv7pkuco,primary smoke,"best_mean_regret=2.1360 on 4 eval rows; smoke only",no claim-ledger change,not applicable,"Live W&B smoke for default-on raw baseline path; full raw baseline remains local-only."
raw full baseline,t42-csw6.10,not applicable,not applicable,not applicable,not applicable,not applicable,"raw-public-state,baseline,w42",not applicable,local-only,"best_mean_regret=2.4711; best_match=59.64%; final_mean_regret=2.8336 on 560 eval rows",no claim-ledger change,not applicable,"Artifacts: scratch/w42/raw_public_state_baseline/. W&B unavailable at run time."
v0 full baseline,t42-csw6.11,not applicable,not applicable,not applicable,not applicable,not applicable,"v0-strategy-tags,baseline,w42",not applicable,local-only,"best_mean_regret=1.9997; best_match=63.93%; final_mean_regret=2.0991 on 560 eval rows",no claim-ledger change,not applicable,"Artifacts: scratch/w42/v0_strategy_tags_baseline/. W&B unavailable at run time."
rich full baseline,t42-csw6.12,3xyy2dxr,t42-csw6.12-rich-tags-many-signal-s0042-f746b93-rerun,finished,completed,t42-csw6,"forge-eq,gus-format,many-signal,rich-tags,scratch,strategy-validation,t42-csw6.12,w42,winning42",https://wandb.ai/jasonyandell-forge42/w42/runs/3xyy2dxr,primary,"best_mean_regret=1.9696; best_match=65.54%; tail_ge_5=11.43%; delta_vs_v0_best=-0.0301",no claim-ledger change,not applicable,"Corrected rich-tag run and current primary model comparison."
rich superseded,t42-csw6.12,c5x85xfx,t42-csw6.12-winning42-s0042-f746b93,finished,completed,t42-csw6,"forge-eq,gus-format,many-signal,rich-tags,scratch,strategy-validation,t42-csw6.12,w42,winning42",https://wandb.ai/jasonyandell-forge42/w42/runs/c5x85xfx,superseded,"same core metrics as primary; superseded by tail-delta label correction",no claim-ledger change,not applicable,"Keep visible for lineage."
setter defense validation,t42-csw6.20,mc9bcj6n,t42-csw6.20-winning42-s20260502-f746b93,finished,completed,t42-csw6,"forge-eq,gus-format,pounce-window,scratch,setter-defense,strategy-validation,t42-csw6.20,w42,winning42",https://wandb.ai/jasonyandell-forge42/w42/runs/mc9bcj6n,primary,"proxy-only; direct setter-pounce detectors missing; count-to-opponent proxy paired regret +5.111",no central ledger change,not applicable,"Claim statuses remain underpowered/not-yet-tested in local delta."
84 validation failed splat,t42-csw6.21,oizyjty5,t42-csw6.21-winning42-s0042-f746b93,failed,failed,w42-csw6-84-claim-validation,"eighty-four,scratch,strategy-validation,t42-csw6.21,w42,winning42",https://wandb.ai/jasonyandell-forge42/w42/runs/oizyjty5,useful failure,"ValueError: dict contains fields not in fieldnames: live_weapon_pool",no central claim-ledger change,not applicable,"Useful splat; confirms failure capture after W&B init."
84 validation superseded,t42-csw6.21,w4wupdih,t42-csw6.21-winning42-s0042-f746b93,finished,completed,w42-csw6-84-claim-validation,"eighty-four,scratch,strategy-validation,t42-csw6.21,w42,winning42",https://wandb.ai/jasonyandell-forge42/w42/runs/w4wupdih,superseded,"completed with wrong off semantics; named matching double opponent-team pct 66.67%",no central claim-ledger change,not applicable,"Keep visible because it explains why corrected run exists."
84 validation corrected,t42-csw6.21,vmta9zew,t42-csw6.21-84-validation-corrected-s0042-f746b93,finished,completed,w42-csw6-84-claim-validation,"eighty-four,scratch,strategy-validation,t42-csw6.21,w42,winning42",https://wandb.ai/jasonyandell-forge42/w42/runs/vmta9zew,primary,"named matching double opponent-team pct=66.67%; either matching double pct=90.00%",no central claim-ledger change,not applicable,"Primary 84 report run."
doubles/no-trump diagnostic,t42-csw6.22,fveoarwf,t42-csw6.22-winning42-sna-f746b93,finished,completed,w42-doubles-no-trump-claim-validation,"doubles,forge-eq,no-trump,off-protection,scratch,strategy-validation,trump-pressure,w42,winning42",https://wandb.ai/jasonyandell-forge42/w42/runs/fveoarwf,diagnostic,"ruleset_supported=4; ruleset_failed=1",schema-shaped local delta only,not applicable,"First pass exposed overly narrow no-trump checker assumption."
doubles/no-trump corrected,t42-csw6.22,0kop3jhk,t42-csw6.22-winning42-sna-f746b93,finished,completed,w42-doubles-no-trump-claim-validation,"doubles,forge-eq,no-trump,off-protection,scratch,strategy-validation,trump-pressure,w42,winning42",https://wandb.ai/jasonyandell-forge42/w42/runs/0kop3jhk,primary,"ruleset_supported=5; ruleset_failed=0; off-count liability in 4+ doubles hands=17.53%",schema-shaped local delta only,not applicable,"Primary Chapter 9 ruleset/static enumeration run."
scoring drift validation,t42-csw6.23,7keeve33,t42-csw6.23-strategy-validation-s0000-f746b93,finished,completed,w42-csw6-scoring-objective-drift,"eighty-four,scoring,scratch,strategy-validation,t42-csw6.23,tournament,w42",https://wandb.ai/jasonyandell-forge42/w42/runs/7keeve33,primary,"deterministic scoring transform; 6 Chapter 10 claims supported in local delta",schema-shaped local delta only,not applicable,"No W&B failure run; pre-init failures not visible in W&B."
