claim_id,family,status,claim,source,evidence_mode,readiness,measurement,result,evidence_artifacts,caveats,next_check,wandb,hf
ch16-seven-card-hand-total,hand odds,supported,"There are 1,184,040 possible seven-domino hands from a double-six set.",scratch/winning42/winning42.with_figures.md:9554; wiki/experiments/winning42-ch16-statistical-odds.md,exact enumeration,enumeration; report-only,"C(28, 7) over the standard double-six tile set.","C(28, 7) = 1,184,040.",w42/odds_ruleset_claim_validation/validation_summary.json; w42/odds_ruleset_claim_validation/hand_shape_priors.csv; w42/odds_ruleset_claim_validation/double_count_priors.csv; w42/odds_ruleset_claim_validation/four_trump_assignments.csv,Arithmetic support only; it says nothing about strategy quality.,Use as denominator fixture for generated-deal audits.,not applicable,not applicable
ch16-suit-void-frequency,void frequencies,supported,Seven-card hands have the stated rough suit-coverage and void frequencies.,scratch/winning42/winning42.with_figures.md:9561-9575; wiki/experiments/winning42-ch16-statistical-odds.md,exact enumeration,enumeration; report-only,Exhaustive count of represented pips and void suits in all seven-domino hands.,7 suits represented / 0 voids = 42.314%; 6 suits represented / 1 voids = 46.982%; 5 suits represented / 2 voids = 10.349%; 4 suits represented / 3 voids = 0.355%,w42/odds_ruleset_claim_validation/validation_summary.json; w42/odds_ruleset_claim_validation/hand_shape_priors.csv; w42/odds_ruleset_claim_validation/double_count_priors.csv; w42/odds_ruleset_claim_validation/four_trump_assignments.csv,The source's three-void bucket rounds up; exact value is better described as less than 1%.,Add generated-corpus chi-square audit if deal manifests become available.,not applicable,not applicable
ch16-double-count-frequency,double-count odds,supported,The book's double-count odds match exact enumeration within rounding.,scratch/winning42/winning42.with_figures.md:9576-9591; wiki/experiments/winning42-ch16-statistical-odds.md,exact enumeration,enumeration; report-only,Exhaustive count of doubles in all seven-domino hands.,0 doubles = 9.821%; 1 doubles = 32.081%; 2 doubles = 36.091%; 3 doubles = 17.692%; 4 doubles = 3.931%; 5 doubles = 0.372%; 6 doubles = 0.012%; 7 doubles = 0.000084%,w42/odds_ruleset_claim_validation/validation_summary.json; w42/odds_ruleset_claim_validation/hand_shape_priors.csv; w42/odds_ruleset_claim_validation/double_count_priors.csv; w42/odds_ruleset_claim_validation/four_trump_assignments.csv,Exact priors do not establish a bid or play recommendation.,Package as stable odds fixture if w42 promotes reusable odds tables.,not applicable,not applicable
ch16-modal-two-doubles-one-void,hand odds,supported,The modal joint hand-shape bucket is two doubles and one void suit.,scratch/winning42/winning42.with_figures.md:9593-9600; wiki/experiments/winning42-ch16-statistical-odds.md,exact enumeration,enumeration; report-only,Joint bucket count over double_count and void_count.,"double_count=2, void_count=1: 213,255 hands (18.011%).",w42/odds_ruleset_claim_validation/validation_summary.json,A modal hand-shape prior is not a partner-help guarantee.,Check whether generated corpora reproduce the same modal bucket.,not applicable,not applicable
ch16-four-trump-missing-second,four-trump odds,supported,"With four trumps including the double but missing the second-highest trump, the setter double-up risk is 10 of 27 assignments.",scratch/winning42/winning42.with_figures.md:9515-9531; wiki/experiments/winning42-ch16-statistical-odds.md,exact assignment enumeration,enumeration; report-only,"Assign the three missing trumps independently to partner, left opponent, or right opponent, with partner not counted as a setter threat.",10 / 27 = 37.037%.,w42/odds_ruleset_claim_validation/validation_summary.json; w42/odds_ruleset_claim_validation/hand_shape_priors.csv; w42/odds_ruleset_claim_validation/double_count_priors.csv; w42/odds_ruleset_claim_validation/four_trump_assignments.csv,"Supports the assignment arithmetic, not the downstream instruction to ignore trump-loss risk in all contexts.","Run paired boss-first versus low-trump forge rollouts by bid margin, count, and score.",not applicable,not applicable
ch16-four-trump-missing-next-two,four-trump odds,supported,"With four trumps including the double but missing the next two highest trumps, the setter double-up risk is 14 of 27 assignments.",scratch/winning42/winning42.with_figures.md:9533-9543; wiki/experiments/winning42-ch16-statistical-odds.md,exact assignment enumeration,enumeration; report-only,Same 27-assignment model as the missing-second claim.,14 / 27 = 51.852%.,w42/odds_ruleset_claim_validation/validation_summary.json; w42/odds_ruleset_claim_validation/hand_shape_priors.csv; w42/odds_ruleset_claim_validation/double_count_priors.csv; w42/odds_ruleset_claim_validation/four_trump_assignments.csv,The near-even prior does not decide the value of cashing count in trump.,"Run paired rollouts split by trump-count domino, off protection, bid margin, and score.",not applicable,not applicable
ch16-four-trump-boss-first-policy,four-trump tactics,underpowered,The exact four-trump odds imply the recommended first lead is strategically optimal.,scratch/winning42/winning42.with_figures.md:9524-9543; wiki/experiments/winning42-ch16-statistical-odds.md,unsupported strategy inference,oracle; w42; burl,No paired action-value rollout is present in the available artifacts.,"Odds substrate is exact, but the policy claim is untested.",w42/odds_ruleset_claim_validation/validation_summary.json; w42/odds_ruleset_claim_validation/hand_shape_priors.csv; w42/odds_ruleset_claim_validation/double_count_priors.csv; w42/odds_ruleset_claim_validation/four_trump_assignments.csv,Do not promote tactical advice to supported from assignment counts alone.,Run forge E[Q] counterfactuals for boss-first versus low-trump lines.,not applicable,not applicable
ch16-partner-two-plus-doubles-prior,partner-help odds,context-limited,A random partner hand has a decent chance of containing at least two doubles.,scratch/winning42/winning42.with_figures.md:9593-9600; wiki/experiments/winning42-ch16-statistical-odds.md,exact unconditional prior,enumeration; oracle,Sum exact double-count buckets for two or more doubles.,P(random hand has >=2 doubles) = 58.099%.,w42/odds_ruleset_claim_validation/double_count_priors.csv,"This is unconditional; actual partner help must condition on bidder hand, bidding, position, and future tricks.",Compute conditional partner-double priors by bidder off count and correlate with make/set or regret.,not applicable,not applicable
ch02-fixed-suit-trump-count-prior,trump counts,supported,Fixed pip-trump candidate declarations have a measurable exact trump-count distribution.,scratch/winning42/winning42.with_figures.md:766-770; w42/bidding_risk_budget_claim_validation/candidate_trump_count_distribution.csv,exact enumeration,enumeration; report-only,"All C(28,7) hands times seven pip-trump candidates.",P(candidate has >=3 trumps) = 22.008%; P(candidate has >=4 trumps) = 4.316%.,w42/bidding_risk_budget_claim_validation/candidate_trump_count_distribution.csv; w42/eighty_four_claim_validation/trump_count_distribution.csv,Descriptive candidate prior only; it does not say which suit should be declared or whether to bid.,Add max-suit and auction-aware versions if a bidding dataset is promoted.,not applicable,not applicable
ch02-three-plus-trumps-good-start,bidding risk,underpowered,Three or more trumps are enough to make a hand a good bidding start.,scratch/winning42/winning42.with_figures.md:766-770; wiki/experiments/w42-bidding-risk-budget-claim-validation.md,static detector evidence only,oracle; w42,"Current artifacts count candidate trump shape and exposure, not auction or make/set value.","Static priors exist, but no outcome counterfactual validates the rule.",w42/bidding_risk_budget_claim_validation/summary.json; w42/bidding_risk_budget_claim_validation/best_candidate_trump_count_distribution.csv,"Shape is a necessary detector surface, not a tactical verdict.",Run bidding rollouts or generated auction counterfactuals.,not applicable,not applicable
