role,phase,public_state_prerequisites,book_concept,current_detector_coverage,missing_detector,suggested_metric,leakage_risk,phase2_stats_distribution_dependencies
P0 bidder opening leader,auction-to-first-trick,"bid winner; declaration; own hand; legal opening leads; bid margin; public score mode","Bidder owns first lead and must choose whether to pull trump, lead a planned off, cash count, or preserve reentry","v0 covers declaration, hand trump/called/count fractions, lead position, legal trump/count fractions; v1 map names pull_trump_vs_early_off_window, candidate_bid_loss_budget, side_specific_off_risk","bidder_first_lead_plan: classifies trump-pull, planned-off, count-cash, reentry-save, and low-trump-first exception under current bid margin","paired E[Q] delta and make/set threshold mass for first-lead class versus best legal action","Online detector must not use true opponent holdings; hidden owner explanation is eval-only","Needs per-action PDF quantiles, make-threshold mass, bid-margin labels, off-risk labels, and hidden-threat attribution for reports"
P1 setter after bidder lead,first trick follower,"bidder leads; P1 relation is left opponent; legal mask; current trick led suit; candidate beats/loses; current trick count; public void evidence","First setter can pounce immediately when bidder exposes an off or count window, but should obey follow-suit and avoid low count-caller traps","v0 covers trick_position_fraction, follows_led, beats_current, opponent_currently_winning, current_trick_count_point_frac, count_donation_to_opponent; v1 map names setter_pounce_window and count_before_certainty","first_setter_pounce_window: public approximation of bidder-off exposure plus count-to-set pressure for P1 before partner acts","missed-pounce regret, set conversion, and held-count-never-used rate split by forced-follow versus free-discard","Actual bidder off inventory and partner winner ownership are hidden-truth labels; use only public bidder lead shape online","Needs p_set threshold mass, disaster-tail CVaR, count-needed-to-set, and public/offline split for partner-winner outcomes"
P2 partner third-to-act,first trick support,"bidder is partner; P0/P1 plays visible; current winner; legal mask; candidate count value; overtrump risk","Partner support waits for safe count donation when partner is winning or likely protected; unsafe count dumps can feed setters","v0 covers partner_currently_winning, point_dump, count_donation_to_partner, current_trick_has_trump, is_last_to_play false; v1 map names safe_partner_count_donation","partner_third_seat_safe_donation: distinguishes guaranteed partner win, likely partner win, and speculative donation after setter action","donation precision, missed safe-donation rate, and lower-tail regret for donated count","Online likely-win must be public-state or belief-derived; true hidden overtrump availability is eval-only","Needs distribution tail labels for unsafe donation, partner-currently-winning certainty, overtrump probability, and belief calibration"
P3 defender last-to-act,first trick closure,"first three plays visible; legal mask; current winner; team relation; count on trick; bid/set margin","Last-to-act can cash, save, overtrump, or discard with maximum public information; book advice is strongly position-sensitive here","v0 covers is_last_to_play, beats_current, partner/opponent_currently_winning, trump_in, point_dump; v1 map names count_before_certainty and count_protection_throwaway","last_to_act_closure_policy: labels save/beat/dump/duck choices by team winner, count value, and bid/set margin","regret by closure class, count captured/saved, and tail loss when declining to beat current winner","Low leakage for public closure facts; future-result labels are eval-only","Needs per-action E[Q] PDF, count swing, make/set threshold mass, and action-class bucket movement"
Bidder as leader,early tricks,"bidder retained lead; trump declaration; outstanding public trump; played suit counts; own remaining trumps; bid margin","Pull trump by default but preserve reentry or switch when dangerous outstanding trump and count needs make the original script unsafe","v0 covers hand_trump_frac, unseen_called_frac, current_trick_trump_frac, is_lead_position; v1 map names pull_trump_vs_early_off_window and dangerous outstanding trump crisis in chapter map only indirectly","outstanding_trump_crisis: public/belief label for when remaining trump risk plus count need favors crisis count forcing over another trump lead","paired E[Q] regret for trump-pull versus count-forcing or off-plan alternatives; p_make cliff movement","True owner of dangerous trump is eval-only; online version must use public depletion plus belief","Needs outstanding-trump distribution, owner-impact magnitude, p_make quantiles, and branch labels"
Bidder as follower,mid-hand,"current trick led by another seat; legal follow/slough; bidder team score; count remaining; own trump scarcity","Emergency trump-in can be correct even when it spends scarce control if the current trick threatens immediate set","v0 covers must_follow_or_restricted, beats_current, trump_in, current_trick_count_point_frac; v1 map names count_protection_throwaway but not emergency bidder trump-in directly","emergency_trump_in_to_prevent_set: bidder follower state where current count loss crosses bid failure threshold","catastrophic-set avoidance rate and regret of trumping now versus saving trump","Low for public trick/count facts; future line attribution is eval-only","Needs bid-margin state, lower-tail/CVaR, make-threshold mass, and count-threat labels"
Setter leader after winning,mid-hand pressure,"defender won prior trick; defender has lead; bid amount; points needed to set; legal lead classes; public voids","Setter lead should maximize damage: call count, force bidder trump, or sneak count depending on bid margin and position","v0 covers is_lead_position, legal_count_point_frac, legal_double_frac, visible pip coverage; v1 map names setter_pounce_window and count_before_certainty but not lead-class damage directly","defender_damage_lead_class: count-calling lead, force-trump lead, safe low lead, or one-point-to-set exception","set conversion and E[Q] delta by lead class; false-positive low count-caller tail regret","Hidden bidder hand/off identity is report-only; online uses public bid/play inference","Needs p_set threshold mass, count-needed-to-set, public void labels, and hidden off attribution for diagnostics"
Setter follower before partner,mid-hand pounce,"bidder off or apparent off led; P1/P3 before partner; legal mask; count in own hand; partner-currently-winning unknown/false","Setting often allows count before certainty, unlike partner support, especially against 35/36 bids","v0 has count_donation_to_opponent and partner/opponent-currently-winning tags but no set-margin role gate; v1 map names count_before_certainty","setter_count_before_certainty: count play by defender before partner has proved winner, gated by set pressure","E[Q] delta for count versus non-count, set conversion, held-count-never-used rate in high-bid buckets","True partner winner ownership and hidden bidder off are eval-only; public detector must mark uncertainty","Needs high-bid bucket, set-margin, outcome PDF split by partner winner, and tail-risk labels"
Partner follower before bidder,mid-hand support,"partner bidder not currently winning; legal mask; current trick count; bidder likely control; own count/protectors","Partner should avoid feeding count unless the bidder's trick is secure or the donation is forced by follow/void constraints","v0 covers count_donation_to_partner, partner_currently_winning, follows_led, point_dump; v1 map names safe_partner_count_donation","partner_forcedness_and_safety: separates forced count, safe count, speculative count, and destructive non-donation","unsafe donation tail regret, missed donation when partner certainly wins, and forcedness precision","Online safety cannot inspect hidden overtrump owners; use public current-winner and legal mask only","Needs forcedness label, overtrump probability, p_make threshold mass, and belief-quality metrics"
Any player last-to-act,late tricks,"trick index high; three plays visible; live count remaining; legal mask; current score against bid; remaining trick count","Late trick decisions are threshold decisions: one point, one count tile, or one saved winner can flip make/set","v0 covers trick_index_fraction, is_last_to_play, current_trick pressure, played/unseen count fractions; v1 map has scoring and pounce buckets but no generic late-threshold detector","late_trick_threshold_closure: labels decisions where action changes make/set threshold mass more than mean E[Q] suggests","bucket-shift in make/set probability, lower-tail risk, and regret for declining/choosing current trick winner","Low for public state; exact future threshold attribution is eval-only","Needs p_make/p_set mass, quantiles, remaining-count inventory, and phase-2 threshold-cliff labels"
