source_id,path,granularity,row_count,key_fields,atlas_join_status,join_reason,dimensions_available,scientific_status,confound_status,row_count_status,schema_fields,sha256
w42_joined_claim_actions,w42/joined_claim_row_model_table/joined_claim_action_rows.csv,legal_action,75079,key+candidate_domino,available:exact-action-key,exact unique identity shared by all five W42 action tables,uncertainty_summaries|bidding_proxies|distributional_summaries|action_choice,offline action labels and public/action-local features; not a causal partnership estimate,source trajectory policy is not fingerprinted,available:csv-row-scan,key|source_file|seed|game_idx|decision_idx|decl_name|bid_value|actor|seat_role|role_family|team|trick_idx|trick_position|candidate_domino|candidate_count_points|candidate_is_called_suit|candidate_is_double|current_winner_team_before|mean|mean_regret|threshold_mass|lower_tail_mass|is_actual_action|is_best_mean|feature_labels|eval_only_labels,5e9a4458978d7efb7898109289ac87c1ca4b3792b5ed53f8be270caed644af60
w42_sequence_seat_actions,w42/sequence_seat_counterfactuals/labeled_sequence_action_rows.csv,legal_action,75079,key+candidate_domino,available:exact-action-key,exact unique identity shared by all five W42 action tables,role_order|partner_action_proxies|sequence|phase,public/action-local sequence detector evidence,detector labels do not establish persistent plans or partner response,available:csv-row-scan,key|source_file|seed|game_idx|decision_idx|decl_name|bid_value|actor|seat_role|role_family|team|trick_idx|trick_position|position_family|phase|candidate_domino|candidate_count_points|candidate_is_called_suit|candidate_is_double|current_winner_team_before|candidate_beats_current|candidate_would_win_trick_now|mean|mean_regret|threshold_mass|lower_tail_mass|is_actual_action|is_best_mean|derived_labels,3e252da215200e462fd729beeec51d0dae52909612813d8f272e01b6dfc15968
w42_seat_position_actions,w42/seat_position_claim_tests/labeled_action_rows.csv,legal_action,75079,key+candidate_domino,available:exact-action-key,exact unique identity shared by all five W42 action tables,role_order|seat_position|partner_action_proxies,public/action-local seat detector evidence,role and seat slices are not a fixed-versus-shuffled partnership intervention,available:csv-row-scan,key|source_file|seed|game_idx|decision_idx|decl_name|actor|seat_role|role_family|team|trick_idx|trick_position|position_family|phase|candidate_domino|candidate_count_points|current_winner_team_before|candidate_beats_current|candidate_would_win_trick_now|mean|mean_regret|threshold_mass|lower_tail_mass|is_actual_action|is_best_mean|derived_labels,d0b45565f3e916e49ab9abda796b90b32e92486f3084fb371ce0e40fcd63697b
w42_phase4_sequence_handshape_actions,w42/phase4_sequence_handshape_tests/labeled_handshape_action_rows.csv,legal_action,75079,key+candidate_domino,available:exact-action-key,exact unique identity shared by all five W42 action tables,threshold_tail_rankings|legal_action_shape|book_labels|current_trick_count,public/action-local and legal-candidate handshape proxy evidence,private remaining hands and multi-trick causal continuations are absent,available:csv-row-scan,key|source_file|seed|game_idx|decision_idx|actor|seat_role|role_family|team|trick_idx|trick_position|phase|bid_value|decl_name|current_winner_team_before|current_trick_count_before|candidate_domino|candidate_count_points|candidate_is_called_suit|candidate_is_double|candidate_beats_current|candidate_would_win_trick_now|is_actual_action|is_best_mean|is_best_threshold|is_safest_tail|mean|mean_regret|threshold_mass|threshold_gap|lower_tail_mass|legal_action_n|called_suit_legal_n|off_suit_legal_n|count_legal_n|double_legal_n|beater_legal_n|labels,94a6c400e0eb07ee2c7e4f34428f79c915271252b02812b2d948e2b4eb81c04c
w42_cross_ai_source_picks,w42/book_validation_v1/wave1/t42-m2i7_cross_ai_agreement/per_action_source_picks.csv,legal_action,75079,key+candidate_domino,available:exact-action-key,exact identity with atlas rows; unique fields retain their original provenance qualifiers,book_detector_endorsement|threshold_top_proxy|cross_corpus_dist_lens_attempt,"confounded diagnostic prior attempt, not clean cross-AI agreement evidence",gus_top_action is is_best_threshold rather than Gus output; dist_lens_top_action is a cross-corpus positional merge,available:csv-row-scan,key|seed|game_idx|decision_idx|decl_name|bid_value|actor|seat_role|role_family|team|trick_idx|trick_position|candidate_domino|candidate_count_points|candidate_is_called_suit|candidate_is_double|mean|mean_regret|threshold_mass|lower_tail_mass|is_actual_action|ev_top_action|gus_top_action|detector_endorsed|detector_anti_endorsed|dist_lens_top_action|feature_labels|labels|phase,3919ca8e0ff34d0abb2f4cb6aeab36be6f5434f6cfce4bd2223c3d793b2c42b3
gus_drama_atlas,gus/analysis/drama_atlas.parquet,decision,280560,split+seed+game_idx+d_idx+current_player,unjoinable:gus-corpus-state-namespace,"apparent partial integer collisions were tested, but state, E[Q], and legal-action counts diverge; there is no shared W42 action-state identity",outcome_variance|action_fragility|belief_sharpness|drama,full Gus decision-level drama surface retained for a future fingerprinted join,different corpus/state namespace; integer collisions are false matches,available:parquet-footer-via-pyarrow,split|seed|game_idx|d_idx|current_player|decl_id|outcome_variance|action_fragility|belief_sharpness|p_make_taken|mode_action|gus_pi_action|gus_matches_mode|action_taken|n_legal_actions|e_q_taken|e_q_max|per_world_top_action_distribution|quadrant|drama_score|trick_num|trick_pos,f2de79063d49e75b2dcc10861c596510960139f43670264db2dc2f9db59540cb
gus_drama_atlas_v2,gus/analysis/drama_atlas_v2.parquet,decision,280560,split+seed+game_idx+d_idx+current_player,unjoinable:gus-corpus-state-namespace,"apparent partial integer collisions were tested, but state, E[Q], and legal-action counts diverge; there is no shared W42 action-state identity",outcome_variance|action_fragility|belief_sharpness|drama|real_drama,full Gus decision-level drama surface retained for a future fingerprinted join,different corpus/state namespace; integer collisions are false matches,available:parquet-footer-via-pyarrow,split|seed|game_idx|d_idx|current_player|decl_id|outcome_variance|action_fragility|belief_sharpness|p_make_taken|mode_action|gus_pi_action|gus_matches_mode|action_taken|n_legal_actions|e_q_taken|e_q_max|per_world_top_action_distribution|quadrant|drama_score|trick_num|trick_pos|marginal_eq_gap|marginal_pmake_gap|dominoes_in_hand|count_unplayed|real_drama_midgame|real_drama_endgame|real_drama_score,1de89ba06336aad753dc002957e456c1e72b37e9b9ef4adc7ec1a0b17513e395
gus_drama_summary_by_split,gus/analysis/tables/drama_summary_by_split.csv,aggregate_slice,2,aggregate labels only,unjoinable:gus-corpus-state-namespace,Gus decision indices and seeds refer to a different corpus/state encoding; overlapping integers are not shared identities,outcome_variance|action_fragility|belief_sharpness|drama,Gus drama summary or selected-example evidence,different corpus/state namespace; cannot be attached to W42 actions,available:csv-row-scan,split|outcome_variance_mean|outcome_variance_median|outcome_variance_<lambda_0>|action_fragility_mean|action_fragility_median|action_fragility_<lambda_0>|belief_sharpness_mean|belief_sharpness_median|belief_sharpness_<lambda_0>|p_make_taken_mean|p_make_taken_median|p_make_taken_<lambda_0>|gus_matches_mode_mean|gus_matches_mode_median|gus_matches_mode_<lambda_0>,88ae6b260407faeb3e44ddaebfcca009f6a1e0850d0638c5924612287026d5a4
gus_quadrant_deep_analysis,gus/analysis/tables/quadrant_deep_analysis.csv,aggregate_slice,4,aggregate labels only,unjoinable:gus-corpus-state-namespace,Gus decision indices and seeds refer to a different corpus/state encoding; overlapping integers are not shared identities,outcome_variance|action_fragility|belief_sharpness|drama,Gus drama summary or selected-example evidence,different corpus/state namespace; cannot be attached to W42 actions,available:csv-row-scan,quadrant|n|frac_of_corpus|mean_drama_score|p95_outcome_var|mean_fragility|mean_sharpness|gus_mode_agreement|mean_p_make|early_game_frac|late_game_frac,f7b4fa3e16742ed7006db366b4f0a189cf5cc1ce6eeb36f0d4a6666e50d2dce5
gus_quadrant_summary,gus/analysis/tables/quadrant_summary.csv,aggregate_slice,8,aggregate labels only,unjoinable:gus-corpus-state-namespace,Gus decision indices and seeds refer to a different corpus/state encoding; overlapping integers are not shared identities,outcome_variance|action_fragility|belief_sharpness|drama,Gus drama summary or selected-example evidence,different corpus/state namespace; cannot be attached to W42 actions,available:csv-row-scan,split|quadrant|n|mean_outcome_var|mean_fragility|mean_sharpness|gus_matches_mode,a81d0aa671fdec31712c224925214b42baabbb38838d962d6347460bb6243cd4
