claim_id,family,current_status,claim,current_evidence_mode,current_readiness,testability_class,proposed_operational_label,operational_definition,primary_data_source,required_fields,leakage_risks,likely_blockers,estimated_sample_power_need,power_bucket,ready_for_powered_test,next_experiment_bead,target_wiki_page,completion_evidence,notes
ch16-seven-card-hand-total,hand odds,supported,"There are 1,184,040 possible seven-domino hands from a double-six set.",exact enumeration,enumeration; report-only,deterministic_static_fixture,ch16_seven_card_hand_total,"C(28, 7) over the standard double-six tile set. Next test: Use as denominator fixture for generated-deal audits.",w42/odds_ruleset_claim_validation/,standard double-six tile set; seven-card hand enumeration,No live-model leakage; fixture is exact public math.,No blocker for fixture use; blocker only applies if promoted into policy advice.,Exact enumeration; no statistical power needed beyond generated-corpus audit.,fixture_only,fixture_only,fixture; no powered bead,wiki/experiments/w42-odds-ruleset-claim-validation.md; wiki/experiments/winning42-ch16-statistical-odds.md,"Regenerate exact fixture, validate row count/percentages, and keep as report-only support unless a separate policy test exists.","Current ledger result: C(28, 7) = 1,184,040."
ch16-suit-void-frequency,void frequencies,supported,Seven-card hands have the stated rough suit-coverage and void frequencies.,exact enumeration,enumeration; report-only,deterministic_static_fixture,ch16_suit_void_frequency,Exhaustive count of represented pips and void suits in all seven-domino hands. Next test: Add generated-corpus chi-square audit if deal manifests become available.,w42/odds_ruleset_claim_validation/,standard double-six tile set; seven-card hand enumeration; generated-deal manifests for audit,No live-model leakage; fixture is exact public math.,No blocker for fixture use; blocker only applies if promoted into policy advice.,Exact enumeration; optional generated-corpus chi-square audit.,fixture_only,fixture_only,fixture; no powered bead,wiki/experiments/w42-odds-ruleset-claim-validation.md; wiki/experiments/winning42-ch16-statistical-odds.md,"Regenerate exact fixture, validate row count/percentages, and keep as report-only support unless a separate policy test exists.",Current ledger result: 7 suits represented / 0 voids = 42.314%; 6 suits represented / 1 voids = 46.982%; 5 suits represented / 2 voids = 10.349%; 4 suits represented / 3 voids = 0.355%
ch16-double-count-frequency,double-count odds,supported,The book's double-count odds match exact enumeration within rounding.,exact enumeration,enumeration; report-only,deterministic_static_fixture,ch16_double_count_frequency,Exhaustive count of doubles in all seven-domino hands. Next test: Package as stable odds fixture if w42 promotes reusable odds tables.,w42/odds_ruleset_claim_validation/,standard double-six tile set; seven-card hand enumeration,No live-model leakage; fixture is exact public math.,No blocker for fixture use; blocker only applies if promoted into policy advice.,Exact enumeration; no statistical power needed beyond regression fixture checks.,fixture_only,fixture_only,fixture; no powered bead,wiki/experiments/w42-odds-ruleset-claim-validation.md; wiki/experiments/w42-phase2-statistics-claims-ledger.md,"Regenerate exact fixture, validate row count/percentages, and keep as report-only support unless a separate policy test exists.",Current ledger result: 0 doubles = 9.821%; 1 doubles = 32.081%; 2 doubles = 36.091%; 3 doubles = 17.692%; 4 doubles = 3.931%; 5 doubles = 0.372%; 6 doubles = 0.012%; 7 doubles = 0.000084%
ch16-modal-two-doubles-one-void,hand odds,supported,The modal joint hand-shape bucket is two doubles and one void suit.,exact enumeration,enumeration; report-only,deterministic_static_fixture,ch16_modal_two_doubles_one_void,Joint bucket count over double_count and void_count. Next test: Check whether generated corpora reproduce the same modal bucket.,w42/odds_ruleset_claim_validation/,standard double-six tile set; seven-card hand enumeration,No live-model leakage; fixture is exact public math.,No blocker for fixture use; blocker only applies if promoted into policy advice.,Exact enumeration; no statistical power needed beyond generated-corpus audit.,fixture_only,fixture_only,fixture; no powered bead,wiki/experiments/w42-odds-ruleset-claim-validation.md; wiki/experiments/winning42-ch16-statistical-odds.md,"Regenerate exact fixture, validate row count/percentages, and keep as report-only support unless a separate policy test exists.","Current ledger result: double_count=2, void_count=1: 213,255 hands (18.011%)."
ch16-four-trump-missing-second,four-trump odds,supported,"With four trumps including the double but missing the second-highest trump, the setter double-up risk is 10 of 27 assignments.",exact assignment enumeration,enumeration; report-only,static_substrate_fixture_plus_auction_followup,ch16_four_trump_missing_second,"Assign the three missing trumps independently to partner, left opponent, or right opponent, with partner not counted as a setter threat. Next test: Run paired boss-first versus low-trump forge rollouts by bid margin, count, and score.",w42/odds_ruleset_claim_validation/; future paired opening-line rollout corpus,trump declaration; missing trump identities; holder assignment model; opening action alternatives; bid margin for tactical tests,Holder assignment is an offline prior; action choice cannot use true missing-trump owners.,Real bid margin and auction counterfactuals are missing from current fixed-bid artifacts.,Exact assignment is fixed; tactical boss-first claims need paired opening-line rollouts by bid margin and score.,fixture_plus_rollout,fixture_only,t42-0b4l.5,wiki/experiments/w42-odds-ruleset-claim-validation.md; wiki/experiments/winning42-ch16-statistical-odds.md,"Regenerate exact fixture, validate row count/percentages, and keep as report-only support unless a separate policy test exists.",Current ledger result: 10 / 27 = 37.037%.
ch16-four-trump-missing-next-two,four-trump odds,supported,"With four trumps including the double but missing the next two highest trumps, the setter double-up risk is 14 of 27 assignments.",exact assignment enumeration,enumeration; report-only,static_substrate_fixture_plus_auction_followup,ch16_four_trump_missing_next_two,"Same 27-assignment model as the missing-second claim. Next test: Run paired rollouts split by trump-count domino, off protection, bid margin, and score.",w42/odds_ruleset_claim_validation/; future paired opening-line rollout corpus,trump declaration; missing trump identities; holder assignment model; opening action alternatives; bid margin for tactical tests,Holder assignment is an offline prior; action choice cannot use true missing-trump owners.,Real bid margin and auction counterfactuals are missing from current fixed-bid artifacts.,Exact assignment is fixed; tactical boss-first claims need paired opening-line rollouts by bid margin and score.,fixture_plus_rollout,fixture_only,t42-0b4l.5,wiki/experiments/w42-odds-ruleset-claim-validation.md; wiki/experiments/winning42-ch16-statistical-odds.md,"Regenerate exact fixture, validate row count/percentages, and keep as report-only support unless a separate policy test exists.",Current ledger result: 14 / 27 = 51.852%.
ch16-four-trump-boss-first-policy,four-trump tactics,underpowered,The exact four-trump odds imply the recommended first lead is strategically optimal.,unsupported strategy inference,oracle; w42; burl,auction_or_bid_margin_data_needed,ch16_four_trump_boss_first_policy,No paired action-value rollout is present in the available artifacts. Next test: Run forge E[Q] counterfactuals for boss-first versus low-trump lines.,future paired boss-first versus low-trump rollout corpus,opening-lead alternatives; trump hierarchy; off protection; score; bid margin; paired E[Q] rollout labels,Paired rollout outcomes and hidden holders are labels only.,Real bid margin and auction counterfactuals are missing from current fixed-bid artifacts.,Needs paired boss-first/low-trump E[Q] rollouts; target >=500 matched four-trump opening states.,new_rollout_data,needs_generation,t42-0b4l.5,wiki/experiments/w42-bidding-risk-budget-claim-validation.md; wiki/experiments/winning42-ch16-statistical-odds.md,Auction-aware or paired bid-margin dataset with make/set or regret CIs by risk bucket and explicit separation of static hand strength from bid strategy.,"Current ledger result: Odds substrate is exact, but the policy claim is untested."
ch16-partner-two-plus-doubles-prior,partner-help odds,context-limited,A random partner hand has a decent chance of containing at least two doubles.,exact unconditional prior,enumeration; oracle,auction_or_bid_margin_data_needed,ch16_partner_two_plus_doubles_prior,Sum exact double-count buckets for two or more doubles. Next test: Compute conditional partner-double priors by bidder off count and correlate with make/set or regret.,w42/odds_ruleset_claim_validation/; future conditional partner-help simulation,bidder hand/off structure; partner hand distribution; conditional helper-double ownership; make/set or regret labels,True partner hand content is an offline label unless inferred from legal public evidence.,Real bid margin and auction counterfactuals are missing from current fixed-bid artifacts.,Needs conditional partner-help simulation; target >=1000 bidder hand shapes per off/double bucket.,conditional_sim,needs_generation,t42-0b4l.5,wiki/experiments/w42-odds-ruleset-claim-validation.md; wiki/experiments/winning42-ch16-statistical-odds.md,Auction-aware or paired bid-margin dataset with make/set or regret CIs by risk bucket and explicit separation of static hand strength from bid strategy.,Current ledger result: P(random hand has >=2 doubles) = 58.099%.
ch02-fixed-suit-trump-count-prior,trump counts,supported,Fixed pip-trump candidate declarations have a measurable exact trump-count distribution.,exact enumeration,enumeration; report-only,static_substrate_fixture_plus_auction_followup,ch02_fixed_suit_trump_count_prior,"All C(28,7) hands times seven pip-trump candidates. Next test: Add max-suit and auction-aware versions if a bidding dataset is promoted.",w42/odds_ruleset_claim_validation/; w42/bidding_risk_budget_claim_validation/,candidate trump; hand trump count; auction context; score; make/set or bid-quality labels for strategic claims,Trump count in own hand is legal; partner/opponent trump ownership is report-only unless belief-derived.,Real bid margin and auction counterfactuals are missing from current fixed-bid artifacts.,Exact trump-count priors are fixed; bidding-quality claims need auction/bid-margin data.,fixture_plus_auction,fixture_only,t42-0b4l.5,wiki/experiments/w42-odds-ruleset-claim-validation.md; wiki/experiments/w42-bidding-risk-budget-claim-validation.md,"Regenerate exact fixture, validate row count/percentages, and keep as report-only support unless a separate policy test exists.",Current ledger result: P(candidate has >=3 trumps) = 22.008%; P(candidate has >=4 trumps) = 4.316%.
ch02-three-plus-trumps-good-start,bidding risk,underpowered,Three or more trumps are enough to make a hand a good bidding start.,static detector evidence only,oracle; w42,auction_or_bid_margin_data_needed,ch02_three_plus_trumps_good_start,"Current artifacts count candidate trump shape and exposure, not auction or make/set value. Next test: Run bidding rollouts or generated auction counterfactuals.",w42/bidding_risk_budget_claim_validation/; future auction/bid-margin corpus,auction history; bid amount; bid margin; candidate declaration; score; hand exposure; make/set outcome or per-bid E[Q],"Do not feed make/set outcome, true hidden partner help, or per-bid oracle result as a live bidding feature.",Real bid margin and auction counterfactuals are missing from current fixed-bid artifacts.,Needs auction/bid-margin corpus; target multi-seed bid candidates with >=1000 make/set labels per bid-margin bucket.,new_auction_data,needs_generation,t42-0b4l.5,wiki/experiments/w42-bidding-risk-budget-claim-validation.md,Auction-aware or paired bid-margin dataset with make/set or regret CIs by risk bucket and explicit separation of static hand strength from bid strategy.,"Current ledger result: Static priors exist, but no outcome counterfactual validates the rule."
