label,scope,public_state_safe,definition,positive_evidence,metric,status
is_84_contract_decision,state,yes,Contract requires bidder team to win all seven tricks; any opponent trick sets the bid.,bid value in 84 ladder and current hand unresolved,regime precision/recall; downstream bucket denominator,source-backed; needs engine fixture
bidder_final_off_candidate,bidder hand / report,own-hand for bidder; hidden for defenders,"A non-trump, non-double tile that may be saved as the final non-trump winner in an 84 plan.",one-off or two-off same-suit 84 candidate shape,final-off branch count; make-all threshold mass by candidate,static shapes counted; dynamic branch labels missing
defender_live_double_weapon,defender action,own-hand plus public history,A defender-held double that can still beat at least one plausible bidder final off branch.,same-suit final-off branch remains live and the double is not forced dead by bidder protection,voluntary discard regret; final weapon recall; threshold-mass delta if preserved,static inventory proxy exists; replay labels missing
defender_live_same_suit_pair,defender hand / action,own-hand plus public history,Two same-suit defender tiles that can answer a bidder double-ahead plan on the final two tricks.,lower tile can survive next-to-last pressure and higher tile can beat final off,pair survival rate; voluntary-break regret; set attribution,static pair availability counted; final-two-trick proof missing
pair_protector,action-local,yes for holder,A side-suit tile that can absorb forced-follow pressure so a live same-suit pair remains intact.,tile shares a vulnerable side suit with pair pressure but is not itself the pair weapon,protector discard regret; pair survival conditional on protector count,designed; not measured
preservation_opportunity,legal action set,yes,A free discard or choice point where at least one legal play preserves a live weapon/pair/protector and another legal play spends or breaks it.,legal actions have different preservation ranks under the 84 ladder,threshold-mass delta; tail-risk delta; ladder violation regret,requires replay/action labels
forced_spend,legal action set,yes,The defender spends or breaks a live weapon because follow-suit legality leaves no preserving alternative.,all legal actions consume the same live asset class or no safe alternative exists,excluded from voluntary-blunder counts; forcedness calibration,requires engine legal-action replay
voluntary_weapon_break,action-local,yes,A legal play spends a live weapon/pair/protector when another legal play would preserve it.,chosen action has worse preservation rank than another legal action,mean regret; set-tail increase for bidder; claim-specific bucket regret,requires E[Q] or oracle counterfactual labels
dead_asset_abandonment,action-local,yes,A formerly live weapon/pair/protector is no longer attached to any plausible setting branch and can be released.,all watched final-off branches are public-dead or protected against the asset,correct release rate; regret of over-preserving dead assets,trigger table exists; replay labels missing
hidden_weapon_attribution,offline evaluation,no live feature; offline label only,"Attribution of a make/set branch or PDF shelf to the hidden holder of a weapon, pair, or final-off threat.",sampled worlds with hidden ownership and outcome branch labels,impact-weighted belief calibration; top-k hidden threat recall,needs saved-world E[Q] artifact
