family,claims,current_status_counts,testability_class_counts,ready_state_counts,next_experiment_bead,target_wiki_page,primary_data_source,main_blocker
84 bidder/defender,9,"{""context-limited"": 3, ""not-yet-tested"": 3, ""underpowered"": 3}","{""static_84_substrate_needs_dynamic_rollout"": 9}","{""needs_84_generation"": 9}",t42-0b4l.7,wiki/experiments/w42-84-claim-validation.md; wiki/experiments/w42-phase2-84-weapon-preservation-probe.md,w42/eighty_four_claim_validation/; w42/eighty_four_weapon_preservation_probe/; future 84-specific branch-atlas or rollout corpus,Needs 84-specific dynamic states; static ownership/asset counts do not prove preservation or abandonment timing.
bidder sequencing,5,"{""context-limited"": 1, ""not-yet-tested"": 1, ""underpowered"": 3}","{""sequence_counterfactual_or_model_probe_needed"": 5}","{""needs_sequence_counterfactuals"": 5}",t42-0b4l.6; t42-0b4l.9,wiki/experiments/w42-bidder-sequencing-claim-validation.md; wiki/experiments/w42-phase2-seat-position-strategy-map.md,w42/bidder_sequencing_claim_validation/; w42/phase2_decision_table/; gus/data/corpus_v2_train_*_d0-9.pt,Current evidence is tag/model-bucket proxy; no trump-first/off-first sequence counterfactual exists.
bidding risk,3,"{""not-yet-tested"": 1, ""underpowered"": 2}","{""auction_or_bid_margin_data_needed"": 3}","{""needs_generation"": 3}",t42-0b4l.5,wiki/experiments/w42-bidding-risk-budget-claim-validation.md,w42/bidding_risk_budget_claim_validation/; future auction/bid-margin corpus,Real bid margin and auction counterfactuals are missing from current fixed-bid artifacts.
count exposure,5,"{""context-limited"": 3, ""supported"": 1, ""underpowered"": 1}","{""auction_or_bid_margin_data_needed"": 4, ""static_substrate_fixture_plus_auction_followup"": 1}","{""fixture_only"": 1, ""needs_generation"": 4}",t42-0b4l.5,wiki/experiments/w42-bidding-risk-budget-claim-validation.md,w42/bidding_risk_budget_claim_validation/; future auction-aware E[Q] or rollout corpus,Real bid margin and auction counterfactuals are missing from current fixed-bid artifacts.
double-count odds,1,"{""supported"": 1}","{""deterministic_static_fixture"": 1}","{""fixture_only"": 1}",fixture; no powered bead,wiki/experiments/w42-odds-ruleset-claim-validation.md; wiki/experiments/w42-phase2-statistics-claims-ledger.md,w42/odds_ruleset_claim_validation/,No blocker for fixture use; blocker only applies if promoted into policy advice.
doubles/no-trump odds,4,"{""context-limited"": 1, ""supported"": 1, ""underpowered"": 2}","{""static_regime_substrate_needs_paired_regime_rollout"": 4}","{""needs_regime_generation"": 4}",t42-0b4l.8,wiki/experiments/w42-doubles-no-trump-claim-validation.md,w42/doubles_no_trump_claim_validation/; w42/branch_atlas_scaled_v0/,"Ruleset facts exist, but declaration choice and tactical play need paired regime rollouts."
doubles/no-trump rules,5,"{""supported"": 5}","{""deterministic_ruleset_fixture"": 5}","{""fixture_only"": 5}",t42-0b4l.8,wiki/experiments/w42-doubles-no-trump-claim-validation.md,w42/doubles_no_trump_claim_validation/; ruleset code fixtures,No blocker for fixture use; blocker only applies if promoted into policy advice.
four-trump odds,2,"{""supported"": 2}","{""static_substrate_fixture_plus_auction_followup"": 2}","{""fixture_only"": 2}",t42-0b4l.5,wiki/experiments/w42-odds-ruleset-claim-validation.md; wiki/experiments/winning42-ch16-statistical-odds.md,w42/odds_ruleset_claim_validation/; future paired opening-line rollout corpus,Real bid margin and auction counterfactuals are missing from current fixed-bid artifacts.
four-trump tactics,1,"{""underpowered"": 1}","{""auction_or_bid_margin_data_needed"": 1}","{""needs_generation"": 1}",t42-0b4l.5,wiki/experiments/w42-bidding-risk-budget-claim-validation.md; wiki/experiments/winning42-ch16-statistical-odds.md,future paired boss-first versus low-trump rollout corpus,Real bid margin and auction counterfactuals are missing from current fixed-bid artifacts.
hand odds,2,"{""supported"": 2}","{""deterministic_static_fixture"": 2}","{""fixture_only"": 2}",fixture; no powered bead,wiki/experiments/w42-odds-ruleset-claim-validation.md; wiki/experiments/winning42-ch16-statistical-odds.md,w42/odds_ruleset_claim_validation/,No blocker for fixture use; blocker only applies if promoted into policy advice.
partner support,7,"{""context-limited"": 1, ""contradicted"": 1, ""supported"": 1, ""underpowered"": 4}","{""direct_action_contrast_needs_stronger_labels"": 1, ""direct_action_contrast_ready_for_replication"": 1, ""direct_detector_or_paired_contrast_needed"": 5}","{""needs_detector_implementation"": 5, ""needs_label_refinement"": 1, ""yes_after_harness"": 1}",t42-0b4l.3; t42-0b4l.6,wiki/experiments/w42-partner-support-claim-validation.md; wiki/experiments/w42-gus-corpus-tactical-claim-deep-dive.md,w42/gus_corpus_claim_deep_dive/; gus/data/corpus_v2_train_*_d0-9.pt,"Needs the reusable harness plus stronger forcedness, guaranteed-control, later-seat-risk, and bid-margin slices."
partner-help odds,1,"{""context-limited"": 1}","{""auction_or_bid_margin_data_needed"": 1}","{""needs_generation"": 1}",t42-0b4l.5,wiki/experiments/w42-odds-ruleset-claim-validation.md; wiki/experiments/winning42-ch16-statistical-odds.md,w42/odds_ruleset_claim_validation/; future conditional partner-help simulation,Real bid margin and auction counterfactuals are missing from current fixed-bid artifacts.
scoring objective,9,"{""context-limited"": 1, ""not-yet-tested"": 1, ""supported"": 6, ""underpowered"": 1}","{""deterministic_objective_fixture"": 6, ""policy_population_simulation_needed"": 3}","{""fixture_only"": 6, ""needs_simulation_design"": 3}",t42-0b4l.10; future tournament-simulation bead,wiki/experiments/w42-scoring-objective-drift-claim-validation.md,w42/scoring_objective_drift_claim_validation/; future tournament simulation,No blocker for fixture use; blocker only applies if promoted into policy advice.
setter defense,7,"{""context-limited"": 1, ""supported"": 2, ""underpowered"": 4}","{""direct_action_contrast_needs_stronger_labels"": 1, ""direct_action_contrast_ready_for_replication"": 2, ""direct_detector_or_paired_contrast_needed"": 4}","{""needs_detector_implementation"": 4, ""needs_label_refinement"": 1, ""yes_after_harness"": 2}",t42-0b4l.3; t42-0b4l.6,wiki/experiments/w42-setter-defense-claim-validation.md; wiki/experiments/w42-gus-corpus-tactical-claim-deep-dive.md,w42/gus_corpus_claim_deep_dive/; gus/data/corpus_v2_train_*_d0-9.pt; w42/setter_pounce_direct_label_probe/,"Needs the reusable harness plus stronger forcedness, guaranteed-control, later-seat-risk, and bid-margin slices."
stopper ownership,1,"{""contradicted"": 1}","{""static_substrate_contradiction_then_dynamic_84_followup"": 1}","{""needs_84_generation"": 1}",t42-0b4l.7,wiki/experiments/w42-84-claim-validation.md; wiki/experiments/w42-phase2-84-weapon-preservation-probe.md,w42/eighty_four_claim_validation/; future 84 branch-atlas or rollout corpus,Needs 84-specific dynamic states; static ownership/asset counts do not prove preservation or abandonment timing.
trump counts,1,"{""supported"": 1}","{""static_substrate_fixture_plus_auction_followup"": 1}","{""fixture_only"": 1}",t42-0b4l.5,wiki/experiments/w42-odds-ruleset-claim-validation.md; wiki/experiments/w42-bidding-risk-budget-claim-validation.md,w42/odds_ruleset_claim_validation/; w42/bidding_risk_budget_claim_validation/,Real bid margin and auction counterfactuals are missing from current fixed-bid artifacts.
void frequencies,1,"{""supported"": 1}","{""deterministic_static_fixture"": 1}","{""fixture_only"": 1}",fixture; no powered bead,wiki/experiments/w42-odds-ruleset-claim-validation.md; wiki/experiments/winning42-ch16-statistical-odds.md,w42/odds_ruleset_claim_validation/,No blocker for fixture use; blocker only applies if promoted into policy advice.
