contrast_id,family,book_question,paired_decision_n,mean_delta,mean_delta_ci95_low,mean_delta_ci95_high,regret_delta,threshold_mass_delta,lower_tail_mass_delta,preferred_actual_action_rate,alternative_actual_action_rate
bidder_lead_called_suit_vs_off_suit,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",1657,-1.9345209591507513,-2.2234362810774617,-1.6550050961920473,1.9345209591507513,0.004758600313070314,0.057592033621038416,0.44538322269161135,0.432106216053108
bidder_lead_called_double_vs_called_non_double,lead_plan,"When both are legal called-suit leads, is the double lead better than a lower called-suit lead?",182,5.720217564358161,4.980855543043587,6.486822842978514,-5.720217564358161,0.09923076748356714,-0.062060438168163486,0.6538461538461539,0.07692307692307693
bidder_low_called_suit_vs_called_double,lead_plan_exception,Does the low-trump-first exception show up against leading the double?,182,-5.720217564358161,-6.491383500724703,-5.009064424168932,5.720217564358161,-0.09923076748356714,0.062060438168163486,0.07692307692307693,0.6538461538461539
bidder_lead_count_vs_noncount,count_inventory,Is leading count from the bidder side better than leading non-count in the same lead state?,1844,-4.876749052490652,-5.2107674356240885,-4.5150833282877105,4.876749052490652,-0.047255964814877205,0.09004880718072703,0.22505422993492408,0.6057483731019523
follower_beat_opponent_vs_decline,follow_obligation,"When an opponent is winning the trick and a follower can beat them, is taking control better than declining?",1870,11.56370174596192,11.001665950819655,12.096273734879725,-11.56370174596192,0.1674732618362588,-0.11712032110843668,0.758288770053476,0.12887700534759358
follower_count_into_opponent_vs_noncount,follow_obligation,Is dumping count while the opponent controls the trick punished relative to non-count alternatives?,3526,-7.3220088218937835,-7.63834589679017,-7.006291393320046,7.3220088218937835,-0.10603942153119586,0.10361315941958943,0.12280204197390811,0.7470221213840046
partner_count_when_bidder_side_controls_vs_other,partner_support_timing,"When bidder's side controls the trick, does partner count donation beat other same-state actions?",614,0.6083715176482833,0.15589552805895526,1.0446023537021991,-0.6083715176482833,0.0033550497420520463,-0.01169381094095373,0.5960912052117264,0.3517915309446254
partner_count_into_defense_vs_other,partner_support_timing,"When defense controls the trick, is partner count donation into that control punished?",802,-8.350776545668573,-9.056904696067447,-7.658409908372082,8.350776545668573,-0.12331047363142643,0.1132543638680697,0.09476309226932668,0.8104738154613467
setter_pounce_count_vs_other,setter_pounce,"When the bidder side is winning, does a setter pounce with count beat other same-state actions?",489,3.846394144907805,2.9862877852031064,4.699641799669454,-3.846394144907805,0.045327198324088915,-0.04186094093664049,0.588957055214724,0.3333333333333333
setter_pounce_sets_now_vs_other,setter_pounce,"When pouncing count sets the bid immediately, does it dominate other same-state actions?",174,5.9296642835974565,4.325268341241747,7.603359683869064,-5.9296642835974565,0.06669540191604488,-0.05784482770096296,0.6436781609195402,0.29310344827586204
setter_reckless_count_to_bidder_vs_other,setter_pounce_negative_control,Is setter count that fails to win the trick punished as the book warns?,2027,-7.8289901862106115,-8.27864907623407,-7.418519607403503,7.8289901862106115,-0.11366058237249695,0.11141588598201221,0.13616181549087322,0.7553034040453873
closure_take_trick_vs_decline,last_seat_closure,"From last seat, does taking the trick beat declining when both are available?",808,10.935583978726546,9.854420072959256,11.976727868039577,-10.935583978726546,0.14805693061685762,-0.11413366341211897,0.6633663366336634,0.23886138613861385
closure_take_count_vs_other,last_seat_closure,"From last seat, does taking count beat other same-state closure options?",277,4.6657663378662795,3.2893165251919294,6.118187196445164,-4.6657663378662795,0.06431407915825017,-0.06546931409206416,0.6064981949458483,0.3285198555956679
closure_slough_count_vs_other,last_seat_closure_negative_control,"From last seat, is sloughing count while declining the trick punished?",1803,-6.376669419394766,-6.928994998139553,-5.8450708338341,6.376669419394766,-0.08930393820706005,0.08365224637566378,0.22684414864115363,0.6799778147531891
