claim_id,family,ledger_status,completion_bucket,phase4_next_bead,phase4_recommendation,audit_category,evidence_sources,blocker_or_scope_bound,claim
ch02-bid-only-enough,bidding risk,not-yet-tested,review_for_ledger_update,ledger_reconciliation,review_status_move_to_supported_or_context_limited,ledger_review_candidate_bounded,completion_board artifact routing,Auction contexts are synthetic and use bidder-hand Monte Carlo labels rather than a full table auction policy.,A bidder should bid only enough to win because excess bid amount only increases set risk.
ch02-double-side-protection,count exposure,context-limited,needs_phase4_or_new_scope,needs_new_bidding_count_exposure_bead,add_or_assign_count_exposure_followup,bounded_by_generator_or_scope,central ledger evidence_artifacts; central ledger status/result: context-limited; phase4_bidding_count_exposure_tests claim_summary; completion_board artifact routing,full_policy_or_sequence_counterfactual_missing: Auction-aware bid/pass policy rollouts and/or sequence-state injection with make/set or E[Q] regret labels.,"A double ahead of an off reduces risk, but only for the protected side of the off."
ch02-four-five-off-danger,count exposure,context-limited,needs_phase4_or_new_scope,needs_new_bidding_count_exposure_bead,add_or_assign_count_exposure_followup,bounded_by_generator_or_scope,central ledger evidence_artifacts; central ledger status/result: context-limited; phase4_bidding_count_exposure_tests claim_summary; completion_board artifact routing,full_policy_or_sequence_counterfactual_missing: Auction-aware bid/pass policy rollouts and/or sequence-state injection with make/set or E[Q] regret labels.,Four and five offs create high count-exposure risk.
ch02-risk-budget-threshold,count exposure,underpowered,phase3_context_limited,needs_new_bidding_count_exposure_bead,add_or_assign_risk_budget_followup,bounded_by_generator_or_scope,phase4_bidding_count_exposure_tests claim_summary; completion_board artifact routing,full_policy_or_sequence_counterfactual_missing: Auction-aware bid/pass policy rollouts and/or sequence-state injection with make/set or E[Q] regret labels.,A 12-or-fewer at-risk point total is sufficient to justify bidding.
ch02-strong-trump-bad-risk-trap,count exposure,context-limited,needs_phase4_or_new_scope,needs_new_bidding_count_exposure_bead,add_or_assign_count_exposure_followup,bounded_by_generator_or_scope,central ledger evidence_artifacts; central ledger status/result: context-limited; phase4_bidding_count_exposure_tests claim_summary; completion_board artifact routing,full_policy_or_sequence_counterfactual_missing: Auction-aware bid/pass policy rollouts and/or sequence-state injection with make/set or E[Q] regret labels.,Strong-looking trump shape can still exceed the beginner risk budget because of offs.
ch02-three-plus-trumps-good-start,bidding risk,underpowered,phase3_context_limited,needs_new_bidding_count_exposure_bead,add_or_assign_bid_shape_followup,bounded_by_generator_or_scope,phase4_bidding_count_exposure_tests claim_summary; completion_board artifact routing,full_policy_or_sequence_counterfactual_missing: Auction-aware bid/pass policy rollouts and/or sequence-state injection with make/set or E[Q] regret labels.,Three or more trumps are enough to make a hand a good bidding start.
ch03-count-inventory,bidder sequencing,context-limited,active_phase4,t42-br7n.1,keep_open_under_phase4_1,bounded_by_generator_or_scope,central ledger evidence_artifacts; central ledger status/result: context-limited; phase4_sequence_handshape_tests paired/blocker artifacts; completion_board artifact routing,"sequence/handshape blocker table: exact private hand, future lead, void-creation, bid-margin, or high-bid state fields may be needed for broad promotion","Count buckets show the strongest proxy gains, but this validates tag usefulness rather than the book's full sequencing rule."
ch03-laydown-correctness,bidder sequencing,not-yet-tested,active_phase4,t42-br7n.4,keep_open_under_phase4_4,bounded_by_generator_or_scope,phase4_laydown_rule_accounting proof fixtures; completion_board artifact routing,laydown checker is fixture/executable proof only; arbitrary corpus/Burl snapshot ingestion remains future work,No deterministic laydown proof checker or late-endgame enumeration artifact exists in the available w42 outputs.
ch03-off-timing,bidder sequencing,underpowered,active_phase4,t42-br7n.1,keep_open_under_phase4_1,bounded_by_generator_or_scope,phase4_sequence_handshape_tests paired/blocker artifacts; completion_board artifact routing,"sequence/handshape blocker table: exact private hand, future lead, void-creation, bid-margin, or high-bid state fields may be needed for broad promotion",Proxy buckets improve alignment; no paired early-off versus trump-first rollout exists in the artifacts.
ch03-reentry-preservation,bidder sequencing,underpowered,active_phase4,t42-br7n.1,keep_open_under_phase4_1,bounded_by_generator_or_scope,phase4_sequence_handshape_tests paired/blocker artifacts; completion_board artifact routing,"sequence/handshape blocker table: exact private hand, future lead, void-creation, bid-margin, or high-bid state fields may be needed for broad promotion",Available buckets touch hand/protection structure but do not encode final-trump-spent-before-off-clear.
